Date,Open,High,Low,Close,Adj Close,Volume
12/20/2005,1169.400024,1171.373047,1155.496948,1163.034058,1162.999512,6734400
12/21/2005,1160.26001,1164.667969,1155.863037,1160.55896,1160.524414,6161400
12/22/2005,1159.390015,1164.016968,1155.42395,1164.016968,1163.982422,4769900
12/23/2005,1162.527954,1164.63501,1153.577026,1158.338013,1158.303711,6127400
12/27/2005,1158.92395,1164.402954,1158.265015,1161.707031,1161.672485,3635700
12/28/2005,1159.932007,1164.142944,1157.83606,1164.142944,1164.108398,4429200
12/29/2005,1163.253052,1169.906006,1157.417969,1162.63501,1162.600464,5840800
1/2/2006,1161.977051,1171.708984,1161.301025,1171.708984,1171.674194,2827600
1/3/2006,1170.029053,1186.485962,1170.029053,1184.689941,1184.654785,9643500
1/4/2006,1192.432007,1211.698975,1192.432007,1211.698975,1211.662964,16412100
1/5/2006,1215.744019,1221.168945,1204.962036,1211,1210.963989,10059800
1/6/2006,1208.437012,1225.004028,1205.741943,1222.249023,1222.212769,11096900
1/9/2006,1227.290039,1247.464966,1227.290039,1245.053955,1245.016968,21143400
1/11/2006,1245.734985,1265.364014,1242.781982,1261.282959,1261.245605,15909100
1/12/2006,1267.176025,1268.631958,1252.291016,1256.253052,1256.215698,11113500
1/13/2006,1248.302979,1258.870972,1246.370972,1250.427979,1250.390869,10873400
1/16/2006,1250.614014,1255.337036,1230.265991,1235.255981,1235.21936,9634400
1/17/2006,1231.176025,1231.744019,1204.734009,1212.869995,1212.833984,12587200
1/18/2006,1191.505005,1210.129028,1183.707031,1193.196045,1193.160645,7197700
1/19/2006,1201.614014,1230.05896,1201.614014,1230.05896,1230.022461,8067300
1/20/2006,1235.402954,1238.006958,1216.567017,1222.887939,1222.851685,7094400
1/23/2006,1200.376953,1211.18103,1195.213989,1200.126953,1200.091309,12778600
1/24/2006,1208.745972,1212.625977,1205.401978,1207.219971,1207.184082,8558200
1/25/2006,1217.887939,1230.116943,1216.935059,1230.116943,1230.080444,18119200
1/26/2006,1232.593018,1233.813965,1219.198975,1226.652954,1226.616455,17431700
1/27/2006,1234.092041,1235.484009,1225.225952,1229.708984,1229.672485,12275700
1/30/2006,1231.68396,1235.807007,1227.718994,1232.321045,1232.284546,3702600
2/1/2006,1233.956055,1243.660034,1232.952026,1240.694946,1240.658081,9369800
2/2/2006,1244.647949,1247.633057,1239.192017,1243.392944,1243.356079,8027400
2/3/2006,1243.317017,1245.968018,1237.833008,1244.125977,1244.089111,28228000
2/6/2006,1243.719971,1247.545044,1240.831055,1245.649048,1245.612061,12151600
2/7/2006,1250.264038,1259.956055,1248.203979,1259.362061,1259.324707,15188200
2/8/2006,1253.994995,1253.994995,1235.878052,1238.170044,1238.133301,13776200
2/9/2006,1243.938965,1247.682983,1237.130981,1246.640015,1246.603027,8517300
2/10/2006,1246.078979,1255.612061,1245.383057,1253.10498,1253.067871,12255900
2/13/2006,1252.915039,1260.104004,1248.822998,1252.404053,1252.366943,9171700
2/14/2006,1248.983032,1248.983032,1226.829956,1230.378052,1230.341553,10997100
2/15/2006,1232.605957,1236.942993,1221.008057,1236.942993,1236.90625,11054600
2/16/2006,1238.838013,1241.874023,1234.151978,1237.874023,1237.83728,6828600
2/17/2006,1240.113037,1246.046997,1237.519043,1243.474976,1243.43811,18331000
2/20/2006,1244.487061,1250.990967,1241.886963,1247.41394,1247.376831,6954800
2/21/2006,1242.43396,1242.43396,1230.541992,1236.088989,1236.052246,12202900
2/22/2006,1230.265991,1233.938965,1224.494995,1231.25,1231.213501,11357100
2/23/2006,1230.920044,1231.014038,1219.088013,1224.16394,1224.127686,6976700
2/24/2006,1222.602051,1225.133057,1212.285034,1216.140015,1216.104004,5387600
2/27/2006,1219.343994,1239.994019,1219.343994,1235.422974,1235.38623,8301000
2/28/2006,1239.770996,1240.572998,1229.963013,1230.66394,1230.627441,12164700
3/1/2006,1222.807007,1239.938965,1222.208984,1239.27002,1239.233276,11000900
3/2/2006,1245.458984,1250.642944,1240.902954,1249.677979,1249.640869,20381500
3/3/2006,1251.286011,1261.265015,1248.646973,1261.265015,1261.227661,9431200
3/6/2006,1259.286987,1263.432007,1256.889038,1262.689941,1262.652466,13475400
3/7/2006,1263.128052,1266.082031,1246.128052,1246.250977,1246.213989,13886300
3/8/2006,1238.640015,1239.609985,1222.418945,1233.595947,1233.559326,12892200
3/9/2006,1232.990967,1240.115967,1225.937012,1239.577026,1239.540283,15647200
3/10/2006,1240.524048,1249.39502,1240.389038,1247.421997,1247.384888,7260100
3/13/2006,1249.802002,1250.312988,1241.901001,1243.661011,1243.624146,30688800
3/14/2006,1242.593994,1245.379028,1240.321045,1245.379028,1245.342041,14845800
3/15/2006,1248.30603,1251.037964,1240.449951,1244.44104,1244.404175,6902700
3/16/2006,1250.552979,1276.276001,1250.552979,1273.796997,1273.759155,19508400
3/17/2006,1280.72998,1306.243042,1280.72998,1305.177979,1305.139282,32532600
3/20/2006,1308.932007,1334.628052,1308.932007,1330.113037,1330.073486,36466200
3/21/2006,1331.228027,1339.819946,1318.496948,1327.141968,1327.102661,24450700
3/22/2006,1320.862061,1320.862061,1299.915039,1302.328003,1302.289307,29672600
3/23/2006,1307.525024,1321.954956,1298.860962,1305.623047,1305.584229,16917200
3/24/2006,1314.285034,1319.604004,1307.400024,1311.374023,1311.335083,9808500
3/27/2006,1307.527954,1312.482056,1306.19397,1311.949951,1311.911011,7403000
3/28/2006,1313.640015,1327.902954,1313.640015,1325.218994,1325.179688,11637600
3/29/2006,1321.625,1335.781982,1321.604004,1322.973999,1322.934692,10936700
3/31/2006,1322.973999,1322.973999,1322.973999,1322.973999,1322.934692,0
4/3/2006,1322.468018,1331.70105,1322.300049,1329.312988,1329.27356,11425400
4/4/2006,1329.537964,1333.484009,1323.884033,1326.447998,1326.408691,10335900
4/5/2006,1332.965942,1344.965942,1332.965942,1344.599976,1344.560059,14922100
4/6/2006,1347.442017,1356.847046,1346.583008,1355.012939,1354.972778,15297500
4/7/2006,1356.081055,1364.616943,1349.790039,1363.297974,1363.257568,12471600
4/11/2006,1366.692017,1367.499023,1357.380981,1360.126953,1360.086548,11567700
4/12/2006,1356.365967,1375.735962,1353.972046,1372.394043,1372.353271,11861800
4/13/2006,1376.95105,1383.969971,1376.95105,1382.121948,1382.080933,14614000
4/17/2006,1385.256958,1389.843018,1379.265015,1386.785034,1386.743774,14315000
4/18/2006,1387.889038,1417.375,1387.889038,1417.375,1417.332886,20331300
4/19/2006,1432.045044,1456.333008,1432.045044,1453.227051,1453.183838,34484200
4/20/2006,1455.27002,1490.646973,1455.27002,1464.527954,1464.484497,36455000
4/21/2006,1454.477051,1468.171997,1444.526978,1459.287964,1459.244629,23043700
4/24/2006,1453.630981,1459.199951,1436.633057,1442.86499,1442.822144,19644300
4/25/2006,1440.380005,1458.784058,1440.380005,1458.784058,1458.740845,20468400
4/26/2006,1460.636963,1485.732056,1460.636963,1481.718994,1481.674927,28981800
4/27/2006,1493.156006,1499.994019,1468.811035,1474.609009,1474.565186,29669900
4/28/2006,1463.737061,1469.19397,1447.543945,1464.406006,1464.362549,16512600
5/1/2006,1468.291992,1478.999023,1468.223999,1476.454956,1476.411133,13029700
5/2/2006,1489.765991,1495.473999,1470.987061,1475.892944,1475.849121,25438600
