,Unnamed: 0,Unnamed: 0.1,player_name,team_abbreviation,age,player_height,player_weight,draft_year,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,Season_year
45,6271,6271,Marreese Speights,PHI,23.0,208.28,115.66596000000001,2008,64,5.4,3.3,0.5,5.0,0.107,0.226,0.22699999999999998,0.532,0.069,2010-11,2010
46,6272,6272,Martell Webster,MIN,24.0,200.66,106.59411999999999,2005,46,9.8,3.2,1.2,-11.4,0.036000000000000004,0.12300000000000001,0.179,0.575,0.079,2010-11,2010
47,6273,6273,Marvin Williams,ATL,25.0,205.74,108.86208,2005,65,10.4,4.8,1.4,-1.2,0.044000000000000004,0.156,0.174,0.551,0.076,2010-11,2010
48,6274,6274,Matt Barnes,LAL,31.0,200.66,102.511792,2002,53,6.7,4.3,1.3,1.3,0.084,0.16399999999999998,0.166,0.569,0.11199999999999999,2010-11,2010
49,6275,6275,Matt Bonner,SAS,31.0,208.28,106.59411999999999,2003,66,7.3,3.6,0.9,8.6,0.051,0.14300000000000002,0.13699999999999998,0.617,0.063,2010-11,2010
50,6276,6276,Matt Carroll,CHA,30.0,198.12,96.16150400000001,Undrafted,54,4.4,1.3,0.4,-6.4,0.023,0.124,0.19399999999999998,0.53,0.068,2010-11,2010
51,6277,6277,Maurice Ager,MIN,27.0,195.58,91.625584,2006,4,3.8,0.5,0.3,-12.9,0.0,0.095,0.21600000000000005,0.682,0.063,2010-11,2010
52,6278,6278,Maurice Evans,WAS,32.0,195.58,99.79024,Undrafted,73,6.3,2.1,0.6,-7.8,0.036000000000000004,0.08,0.14,0.513,0.046,2010-11,2010
53,6279,6279,Mehmet Okur,UTA,32.0,210.82,120.20188,2001,13,4.9,2.3,1.5,-12.8,0.068,0.20800000000000002,0.214,0.452,0.179,2010-11,2010
54,6280,6280,Melvin Ely,DEN,33.0,208.28,118.38751200000002,2002,30,2.3,2.5,0.5,2.1,0.09,0.153,0.092,0.573,0.052000000000000005,2010-11,2010
55,6281,6281,Metta World Peace,LAL,31.0,200.66,117.93392,1999,82,8.5,3.3,2.1,8.9,0.048,0.078,0.151,0.485,0.10300000000000001,2010-11,2010
56,6282,6282,Michael Beasley,MIN,22.0,208.28,106.59411999999999,2008,73,19.2,5.6,2.2,-5.6,0.054000000000000006,0.13699999999999998,0.284,0.51,0.11800000000000001,2010-11,2010
57,6283,6283,Michael Redd,MIL,31.0,198.12,97.52228000000001,2000,10,4.4,0.8,1.2,4.8,0.0,0.07200000000000001,0.17600000000000002,0.47,0.132,2010-11,2010
58,6284,6284,Mickael Pietrus,PHX,29.0,198.12,97.52228000000001,2003,57,7.2,2.2,0.6,2.0,0.016,0.11800000000000001,0.183,0.526,0.052000000000000005,2010-11,2010
59,6285,6285,John Wall,WAS,20.0,193.04,88.45044,2010,69,16.4,4.6,8.3,-9.0,0.013999999999999999,0.127,0.23600000000000002,0.494,0.35700000000000004,2010-11,2010
60,6286,6286,Marcus Thornton,SAC,24.0,193.04,92.98635999999999,2009,73,12.8,3.5,1.8,-3.7,0.039,0.129,0.245,0.525,0.133,2010-11,2010
61,6287,6287,Marcus Cousin,UTA,24.0,210.82,111.13004,Undrafted,4,1.0,0.8,0.0,-48.9,0.0,0.214,0.092,0.667,0.0,2010-11,2010
62,6288,6288,Marcus Camby,POR,37.0,210.82,106.59411999999999,1996,59,4.7,10.3,2.1,2.4,0.136,0.355,0.11800000000000001,0.426,0.114,2010-11,2010
63,6289,6289,Marcus Banks,TOR,29.0,187.96,92.98635999999999,2003,3,2.0,0.3,1.0,17.1,0.0,0.067,0.145,0.5429999999999999,0.188,2010-11,2010
64,6290,6290,Lester Hudson,WAS,26.0,190.5,86.18248,2009,11,1.6,0.5,1.5,-8.7,0.013999999999999999,0.073,0.204,0.349,0.447,2010-11,2010
65,6291,6291,Linas Kleiza,TOR,26.0,203.2,111.13004,2005,39,11.2,4.5,1.0,-4.9,0.042,0.163,0.214,0.502,0.06,2010-11,2010
66,6292,6292,Lou Amundson,GSW,28.0,205.74,102.0582,Undrafted,46,4.3,4.0,0.4,-5.5,0.121,0.162,0.155,0.452,0.039,2010-11,2010
67,6293,6293,Lou Williams,PHI,24.0,185.42,79.3786,2005,75,13.7,2.0,3.4,2.1,0.021,0.077,0.27699999999999997,0.54,0.248,2010-11,2010
68,6294,6294,Luc Mbah a Moute,MIL,24.0,203.2,104.32616,2008,79,6.7,5.3,0.9,-0.6,0.09,0.145,0.132,0.518,0.054000000000000006,2010-11,2010
69,6295,6295,Luis Scola,HOU,31.0,205.74,111.13004,2002,74,18.3,8.2,2.5,3.0,0.07,0.217,0.255,0.5379999999999999,0.131,2010-11,2010
70,6296,6296,Luke Babbitt,POR,22.0,205.74,102.0582,2010,24,1.5,1.3,0.3,-11.6,0.040999999999999995,0.19,0.21100000000000002,0.305,0.077,2010-11,2010
71,6297,6297,Luke Harangody,CLE,23.0,200.66,113.851592,2010,49,3.9,2.9,0.6,-3.9,0.07200000000000001,0.19,0.16899999999999998,0.444,0.078,2010-11,2010
72,6298,6298,Leandro Barbosa,TOR,28.0,190.5,91.625584,2003,58,13.3,1.7,2.1,-5.5,0.012,0.073,0.254,0.539,0.147,2010-11,2010
73,6299,6299,Luke Ridnour,MIN,30.0,187.96,79.3786,2003,71,11.8,2.8,5.4,-5.9,0.019,0.083,0.177,0.5670000000000001,0.27399999999999997,2010-11,2010
74,6300,6300,Luol Deng,CHI,26.0,205.74,99.79024,2004,82,17.4,5.8,2.8,8.3,0.043,0.126,0.20800000000000002,0.5489999999999999,0.11900000000000001,2010-11,2010
75,6301,6301,Luther Head,SAC,28.0,190.5,83.91452,2005,36,5.6,1.7,1.9,-8.1,0.031,0.08900000000000001,0.16699999999999998,0.5379999999999999,0.19399999999999998,2010-11,2010
76,6302,6302,Malik Allen,ORL,33.0,208.28,115.66596000000001,Undrafted,18,1.3,1.8,0.2,-11.0,0.068,0.135,0.09,0.361,0.036000000000000004,2010-11,2010
77,6303,6303,Manny Harris,CLE,21.0,195.58,83.91452,Undrafted,54,5.9,2.6,1.6,-12.6,0.042,0.13699999999999998,0.18899999999999997,0.486,0.153,2010-11,2010
78,6304,6304,Manu Ginobili,SAS,33.0,198.12,92.98635999999999,1999,80,17.4,3.7,4.9,11.5,0.021,0.11699999999999999,0.256,0.581,0.249,2010-11,2010
79,6305,6305,Marc Gasol,MEM,26.0,215.9,120.20188,2007,81,11.7,7.0,2.5,1.7,0.071,0.193,0.171,0.58,0.11699999999999999,2010-11,2010
80,6306,6306,Marcin Gortat,PHX,27.0,210.82,108.86208,2005,80,10.2,7.9,0.9,1.4,0.085,0.27,0.175,0.594,0.057,2010-11,2010
81,6307,6307,Marco Belinelli,NOH,25.0,195.58,90.7184,2007,80,10.5,1.9,1.2,1.5,0.011000000000000001,0.086,0.19899999999999998,0.56,0.077,2010-11,2010
82,6308,6308,Luke Walton,LAL,31.0,203.2,106.59411999999999,2003,54,1.7,1.2,1.1,3.6,0.023,0.11900000000000001,0.146,0.37799999999999995,0.183,2010-11,2010
83,6309,6309,John Salmons,MIL,31.0,198.12,93.89354399999999,2002,73,14.0,3.6,3.5,-1.5,0.012,0.11199999999999999,0.209,0.51,0.179,2010-11,2010
84,6310,6310,Henry Walker,NYK,23.0,198.12,99.79024,2008,61,4.9,2.0,0.6,6.2,0.023,0.155,0.165,0.583,0.069,2010-11,2010
85,6311,6311,Johan Petro,NJN,25.0,213.36,112.037224,2005,77,3.5,2.8,0.6,-6.4,0.083,0.20800000000000002,0.187,0.452,0.08800000000000001,2010-11,2010
86,6312,6312,Gordon Hayward,UTA,21.0,203.2,93.89354399999999,2010,72,5.4,1.9,1.1,-8.1,0.04,0.102,0.153,0.578,0.106,2010-11,2010
87,6313,6313,Grant Hill,PHX,38.0,203.2,102.0582,1994,80,13.2,4.2,2.5,1.5,0.037000000000000005,0.122,0.201,0.563,0.126,2010-11,2010
88,6314,6314,Greg Monroe,DET,21.0,210.82,113.398,2010,80,9.4,7.5,1.3,-4.1,0.131,0.204,0.154,0.575,0.075,2010-11,2010
89,6315,6315,Greivis Vasquez,MEM,24.0,198.12,95.707912,2010,70,3.6,1.0,2.2,-6.1,0.017,0.094,0.17,0.493,0.266,2010-11,2010
90,6316,6316,Hakim Warrick,PHX,28.0,205.74,99.336648,2005,80,8.4,3.7,0.9,-4.1,0.073,0.17600000000000002,0.209,0.581,0.081,2010-11,2010
91,6317,6317,Hamady Ndiaye,WAS,24.0,213.36,106.59411999999999,2010,16,0.9,0.4,0.0,-22.9,0.028999999999999998,0.08800000000000001,0.076,0.6809999999999999,0.0,2010-11,2010
92,6318,6318,Hamed Haddadi,MEM,26.0,218.44,120.20188,Undrafted,31,2.4,2.2,0.2,11.2,0.18,0.295,0.204,0.55,0.042,2010-11,2010
93,6319,6319,Hasheem Thabeet,HOU,24.0,220.98,119.294696,2009,47,1.1,1.6,0.1,-14.8,0.073,0.17800000000000002,0.087,0.478,0.015,2010-11,2010
94,6320,6320,Hassan Whiteside,SAC,22.0,213.36,106.59411999999999,2010,1,0.0,0.0,0.0,-144.9,0.0,0.0,0.0,0.0,0.0,2010-11,2010
95,6321,6321,Hedo Turkoglu,ORL,32.0,208.28,99.79024,2000,81,10.8,4.4,4.2,6.4,0.021,0.14,0.168,0.555,0.207,2010-11,2010
96,6322,6322,Hilton Armstrong,ATL,26.0,210.82,106.59411999999999,2006,53,1.7,2.5,0.3,-10.0,0.098,0.215,0.11,0.508,0.046,2010-11,2010
97,6323,6323,Ian Mahinmi,DAL,24.0,210.82,104.32616,2005,56,3.1,2.1,0.1,8.8,0.114,0.179,0.153,0.645,0.025,2010-11,2010
98,6324,6324,Ike Diogu,LAC,27.0,205.74,113.398,2005,36,5.8,3.2,0.1,-10.6,0.096,0.188,0.183,0.59,0.008,2010-11,2010
99,6325,6325,Ime Udoka,SAS,33.0,195.58,99.79024,Undrafted,20,0.7,1.0,0.7,0.6,0.040999999999999995,0.12,0.109,0.285,0.153,2010-11,2010
100,6326,6326,Ish Smith,MEM,22.0,182.88,79.3786,Undrafted,43,2.3,1.1,1.8,-4.4,0.018000000000000002,0.10099999999999999,0.159,0.406,0.268,2010-11,2010
101,6327,6327,J.J. Barea,DAL,27.0,182.88,79.3786,Undrafted,81,9.5,2.0,3.9,5.9,0.021,0.08900000000000001,0.242,0.535,0.314,2010-11,2010
102,6328,6328,JJ Hickson,CLE,22.0,205.74,109.769264,2008,80,13.8,8.7,1.1,-11.9,0.107,0.244,0.253,0.503,0.075,2010-11,2010
103,6329,6329,Goran Dragic,HOU,25.0,190.5,86.18248,2008,70,7.5,2.0,2.9,-6.7,0.032,0.1,0.228,0.524,0.29100000000000004,2010-11,2010
104,6330,6330,Glen Davis,BOS,25.0,205.74,131.088088,2007,78,11.7,5.4,1.2,3.6,0.057,0.16699999999999998,0.212,0.499,0.069,2010-11,2010
105,6331,6331,Gilbert Arenas,ORL,29.0,193.04,97.52228000000001,2001,70,10.8,2.7,3.9,-0.7,0.013999999999999999,0.10800000000000001,0.24600000000000002,0.47100000000000003,0.256,2010-11,2010
106,6332,6332,Gerald Wallace,POR,28.0,200.66,99.79024,2001,71,15.7,8.0,2.4,3.0,0.049,0.20600000000000002,0.203,0.5479999999999999,0.10800000000000001,2010-11,2010
107,6333,6333,Mike Bibby,MIA,33.0,187.96,88.45044,1998,80,8.6,2.4,3.3,3.3,0.009000000000000001,0.092,0.146,0.57,0.17300000000000001,2010-11,2010
108,6334,6334,Eric Bledsoe,LAC,21.0,185.42,88.45044,2010,81,6.7,2.8,3.6,-7.0,0.045,0.098,0.179,0.499,0.254,2010-11,2010
109,6335,6335,Eric Gordon,LAC,22.0,190.5,97.52228000000001,2008,56,22.3,2.9,4.4,-1.7,0.025,0.064,0.262,0.5660000000000001,0.19699999999999998,2010-11,2010
110,6336,6336,Eric Maynor,OKC,24.0,190.5,79.3786,2009,82,4.2,1.5,2.9,8.4,0.027000000000000003,0.092,0.16899999999999998,0.485,0.313,2010-11,2010
111,6337,6337,Erick Dampier,MIA,35.0,210.82,120.20188,1996,51,2.5,3.5,0.4,6.8,0.083,0.16399999999999998,0.081,0.591,0.039,2010-11,2010
112,6338,6338,Ersan Ilyasova,MIL,24.0,208.28,106.59411999999999,2005,60,9.5,6.1,0.9,1.1,0.078,0.21100000000000002,0.18899999999999997,0.516,0.064,2010-11,2010
113,6339,6339,Etan Thomas,ATL,33.0,208.28,117.93392,2000,13,2.5,1.8,0.2,-19.4,0.076,0.262,0.177,0.58,0.05,2010-11,2010
114,6340,6340,Evan Turner,PHI,22.0,200.66,92.98635999999999,2010,78,7.2,3.9,2.0,-0.2,0.027000000000000003,0.17,0.17,0.484,0.13699999999999998,2010-11,2010
115,6341,6341,JJ Redick,ORL,27.0,193.04,86.18248,2006,59,10.1,1.9,1.7,4.0,0.005,0.08,0.16699999999999998,0.589,0.11,2010-11,2010
116,6342,6342,Fabricio Oberto,POR,36.0,208.28,111.13004,Undrafted,5,1.4,1.4,0.0,-19.0,0.073,0.098,0.086,0.595,0.0,2010-11,2010
117,6343,6343,Francisco Garcia,SAC,29.0,200.66,88.45044,2005,58,9.7,2.3,1.2,-5.6,0.019,0.09300000000000001,0.172,0.551,0.079,2010-11,2010
118,6344,6344,Gani Lawal,PHX,22.0,205.74,106.140528,2010,1,0.0,0.0,0.0,-78.3,0.0,0.0,0.0,0.0,0.0,2010-11,2010
119,6345,6345,Garret Siler,PHX,24.0,210.82,138.34556,Undrafted,21,2.1,1.3,0.1,-6.1,0.16699999999999998,0.15,0.204,0.5529999999999999,0.040999999999999995,2010-11,2010
120,6346,6346,Garrett Temple,CHA,25.0,198.12,88.45044,Undrafted,24,2.4,1.0,1.3,-6.6,0.005,0.122,0.205,0.37799999999999995,0.209,2010-11,2010
121,6347,6347,Gary Forbes,DEN,26.0,200.66,99.79024,Undrafted,63,5.2,1.8,0.8,-2.1,0.040999999999999995,0.127,0.193,0.524,0.094,2010-11,2010
122,6348,6348,Gary Neal,SAS,26.0,193.04,95.25432,Undrafted,80,9.8,2.5,1.2,3.8,0.015,0.121,0.20800000000000002,0.578,0.094,2010-11,2010
123,6349,6349,George Hill,SAS,25.0,187.96,81.64656,2008,76,11.6,2.6,2.5,7.3,0.013999999999999999,0.09300000000000001,0.185,0.588,0.142,2010-11,2010
124,6350,6350,Gerald Henderson,CHA,23.0,193.04,97.52228000000001,2009,68,9.6,3.0,1.5,-2.6,0.035,0.115,0.201,0.509,0.106,2010-11,2010
125,6351,6351,Francisco Elson,UTA,35.0,213.36,108.86208,1999,62,2.2,1.9,0.5,-4.5,0.071,0.179,0.122,0.529,0.09,2010-11,2010
126,6352,6352,JR Smith,DEN,25.0,198.12,99.79024,2004,79,12.3,4.1,2.2,5.8,0.027999999999999997,0.162,0.22,0.55,0.141,2010-11,2010
127,6353,6353,JaVale McGee,WAS,23.0,213.36,114.30518400000001,2008,79,10.1,8.0,0.5,-4.4,0.11599999999999999,0.214,0.165,0.5660000000000001,0.027000000000000003,2010-11,2010
128,6354,6354,Jamaal Magloire,MIA,33.0,210.82,115.66596000000001,2000,18,1.9,3.4,0.2,7.2,0.131,0.35200000000000004,0.105,0.585,0.031,2010-11,2010
129,6355,6355,Jeff Adrien,GSW,25.0,201.0,111.0,Undrafted,23,2.5,2.5,0.4,-1.3,0.133,0.20600000000000002,0.163,0.457,0.075,2010-11,2010
130,6356,6356,Jeff Foster,IND,34.0,210.82,113.398,1999,56,3.3,6.3,0.8,3.3,0.177,0.226,0.099,0.4970000000000001,0.073,2010-11,2010
131,6357,6357,Jeff Green,BOS,24.0,205.74,106.59411999999999,2007,75,13.3,4.8,1.4,1.3,0.037000000000000005,0.138,0.195,0.5379999999999999,0.075,2010-11,2010
132,6358,6358,Jeff Teague,ATL,23.0,187.96,81.64656,2009,70,5.2,1.5,2.0,-2.7,0.013999999999999999,0.113,0.19899999999999998,0.521,0.23600000000000002,2010-11,2010
133,6359,6359,Jeremy Evans,UTA,23.0,205.74,88.904032,2010,49,3.6,2.0,0.5,-2.8,0.1,0.163,0.14800000000000002,0.6779999999999999,0.09,2010-11,2010
134,6360,6360,Jeremy Lin,GSW,22.0,190.5,90.7184,Undrafted,29,2.6,1.2,1.4,2.5,0.043,0.09699999999999999,0.155,0.45799999999999996,0.207,2010-11,2010
135,6361,6361,Jermaine O'Neal,BOS,32.0,210.82,115.66596000000001,1996,24,5.4,3.7,0.5,3.9,0.076,0.161,0.17600000000000002,0.504,0.046,2010-11,2010
136,6362,6362,Jermaine Taylor,SAC,24.0,193.04,95.25432,2009,34,6.6,1.8,0.9,-10.1,0.061,0.08800000000000001,0.226,0.535,0.105,2010-11,2010
